name,cuisine,rating,no_of_reviews,price_range,user_id,description,place_id,about
Elena,South American  ,4.60,2323,4,0,offers dine-in service only and is closed between 3:30 PM and 7 PM.,1.00,"{""Service options"": {""Dine-in"": true, ""Delivery"": false}, ""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible seating"": true, ""Wheelchair-accessible toilet"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Late-night food"": true, ""Small plates"": true, ""Spirits"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Breakfast"": true, ""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true}, ""Amenities"": {""Bar on site"": true, ""Toilets"": true}, ""Atmosphere"": {""Cosy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Reservations required"": true, ""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true}}"
Tomo 1,Fine dining  ,4.60,450,4,0,a fine dining restaurant located within the BuenosAires Marriott. ,2.00,"{""Service options"": {""Outdoor seating"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible lift"": true, ""Wheelchair-accessible toilet"": true}, ""Offerings"": {""Alcohol"": true, ""All you can eat"": true, ""Cocktails"": true, ""Coffee"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Catering"": true, ""Dessert"": true}, ""Amenities"": {""Bar on site"": true, ""Toilets"": true, ""Wi-Fi"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Debit cards"": true, ""Credit cards"": true}}"
Cabernet,Argentinian  ,4.20,2486,3,0,Intimate fine dining spot offering European fare & wines in a vintage house with a shaded patio.,3.00,"{""Service options"": {""Outdoor seating"": true, ""Kerbside pickup"": true, ""Takeaway"": true, ""Dine-in"": true, ""Delivery"": false}, ""Highlights"": {""Fireplace"": true, ""Rooftop seating"": true}, ""Accessibility"": {""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible seating"": true, ""Wheelchair-accessible car park"": false}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Braille menu"": true, ""Cocktails"": true, ""Coffee"": true, ""Happy-hour drinks"": true, ""Happy-hour food"": true, ""Late-night food"": true, ""Organic dishes"": true, ""Small plates"": true, ""Spirits"": true, ""Vegan options"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Bar on site"": true, ""Toilets"": true}, ""Atmosphere"": {""Cosy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true}, ""Children"": {""High chairs"": true, ""Kids' menu"": true}}"
ALMA BuenosAires,Argentinian  ,4.50,230,0,0,"offers dine-in and takeaway service options but does not provide delivery. The restaurant is located at Posadas 1232, C1011 CABA, and is closed from 3:30 PM to 8 PM. You can contact them at 011 4819-1100.",4.00,"{""Service options"": {""Outdoor seating"": true, ""Takeaway"": true, ""Dine-in"": true, ""Delivery"": false}, ""Highlights"": {""Great cocktails"": true}, ""Accessibility"": {""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible seating"": true, ""Wheelchair-accessible toilet"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Spirits"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Breakfast"": true, ""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Bar on site"": true, ""Toilets"": true, ""Wi-Fi"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Crowd"": {""Family friendly"": true, ""Groups"": true, ""LGBTQ+ friendly"": true, ""Transgender safe space"": true}, ""Planning"": {""Reservations required"": true, ""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true}, ""Children"": {""High chairs"": true}, ""Other"": {""LGBTQ+ friendly"": true}}"
Santos Manjares,Steak house,4.70,4092,2,0,"a highly-rated steakhouse in BuenosAires, located at Paraguay 938, C1057 AAN.",5.00,"{""From the business"": {""Identifies as women-owned"": true}, ""Service options"": {""Delivery"": true, ""Takeaway"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible seating"": true, ""Wheelchair-accessible toilet"": true, ""Wheelchair-accessible car park"": false}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Late-night food"": true, ""Small plates"": true, ""Spirits"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Toilets"": true, ""Wi-Fi"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Crowd"": {""Family friendly"": true, ""Groups"": true}, ""Planning"": {""Accepts reservations"": false}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true}, ""Children"": {""High chairs"": true}, ""Other"": {""Identifies as women-owned"": true}}"
La Posada de 1820,Argentinian  ,4.20,4206,2,0,"located at Tucumán 501, C1049 AAK, BuenosAires.",6.00,"{""Service options"": {""Delivery"": true, ""Takeaway"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair-accessible seating"": true, ""Wheelchair-accessible car park"": false}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Coffee"": true, ""Small plates"": true, ""Spirits"": true, ""Wine"": true}, ""Dining options"": {""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Bar on site"": true, ""Toilets"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true}}"
Nuestro Secreto,Argentinian  ,4.60,761,4,0,Nuestro Secreto,7.00,"{""Service options"": {""Outdoor seating"": true, ""Dine-in"": true, ""Delivery"": false}, ""Accessibility"": {""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible seating"": true, ""Wheelchair-accessible toilet"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Small plates"": true, ""Spirits"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Bar on site"": true, ""Toilets"": true}, ""Atmosphere"": {""Cosy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Reservations required"": true, ""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}}"
BuenosAires Restaurant,Argentinian  ,4.10,484,0,0," located at Carlos Pellegrini 111, C1009 C1009ABC, BuenosAires. This establishment offers dine-in and takeaway service options. It closes at 11:30 PM, providing guests with a late dining option in BuenosAires.",8.00,"{""Service options"": {""Outdoor seating"": true, ""Takeaway"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible seating"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Late-night food"": true, ""Small plates"": true, ""Wine"": true}, ""Dining options"": {""Breakfast"": true, ""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Bar on site"": true, ""Toilets"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true}}"
Don Julio,Steak house,4.50,13276,3,0,"Popular destination for classic steaks, local dishes & a long wine list in an intimate ambiance.",9.00,"{""Service options"": {""Outdoor seating"": true, ""Takeaway"": true, ""Dine-in"": true, ""Delivery"": false}, ""Highlights"": {""Fast service"": true}, ""Accessibility"": {""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible seating"": true, ""Wheelchair-accessible toilet"": true, ""Wheelchair-accessible car park"": false}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Happy-hour drinks"": true, ""Healthy options"": true, ""Late-night food"": true, ""Organic dishes"": true, ""Small plates"": true, ""Spirits"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Bar on site"": true, ""Toilets"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Reservations required"": true, ""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true}, ""Children"": {""High chairs"": true}}"
Chila,Fine dining  ,4.60,849,4,0," also known as CHILA/AMARRA, is a fine dining restaurant located at Av. Alicia Moreau de Justo 1160, C1107 CABA",10.00,"{""Service options"": {""Dine-in"": true, ""Delivery"": false, ""Takeaway"": false}, ""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible seating"": true, ""Wheelchair-accessible toilet"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Organic dishes"": true, ""Small plates"": true, ""Spirits"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Dessert"": true}, ""Amenities"": {""Bar on site"": true, ""Toilets"": true}, ""Atmosphere"": {""Cosy"": true}, ""Crowd"": {""Family friendly"": true, ""Groups"": true, ""LGBTQ+ friendly"": true, ""Transgender safe space"": true}, ""Planning"": {""Reservations required"": true, ""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Other"": {""LGBTQ+ friendly"": true}}"
